bit_flipped,avalanche
120,0.59375
61,0.4296875
49,0.4921875
26,0.5078125
2,0.46875
78,0.4609375
28,0.5
108,0.4453125
4,0.515625
109,0.5078125
84,0.6484375
48,0.4453125
78,0.46875
101,0.4765625
68,0.46875
118,0.5078125
7,0.5546875
44,0.4765625
114,0.484375
31,0.484375
65,0.3828125
11,0.46875
35,0.5234375
98,0.5
51,0.4921875
58,0.4765625
79,0.5
90,0.4609375
19,0.4765625
11,0.5
83,0.53125
87,0.46875
70,0.515625
120,0.4921875
101,0.546875
91,0.453125
90,0.4765625
28,0.515625
92,0.453125
108,0.5546875
93,0.515625
116,0.4609375
13,0.4296875
4,0.5
107,0.578125
122,0.53125
15,0.5546875
79,0.5625
32,0.4921875
85,0.5
64,0.5234375
37,0.53125
23,0.5
96,0.4765625
72,0.53125
69,0.5
1,0.5
96,0.4140625
22,0.515625
95,0.4375
76,0.4765625
120,0.4609375
67,0.546875
26,0.5234375
53,0.4609375
122,0.5078125
86,0.53125
63,0.546875
97,0.609375
46,0.515625
46,0.625
118,0.4921875
117,0.4375
24,0.453125
62,0.5234375
102,0.5
103,0.53125
101,0.484375
58,0.5703125
61,0.546875
3,0.4765625
18,0.5703125
118,0.5859375
109,0.4375
49,0.4296875
36,0.53125
14,0.5546875
96,0.59375
102,0.5078125
110,0.4140625
65,0.4453125
88,0.4375
66,0.4921875
64,0.46875
108,0.4765625
62,0.4609375
117,0.5078125
118,0.546875
109,0.4140625
122,0.5234375
51,0.5390625
93,0.5234375
116,0.46875
58,0.5078125
89,0.46875
104,0.4375
35,0.5390625
43,0.4765625
8,0.515625
39,0.4296875
105,0.546875
29,0.5546875
96,0.4375
29,0.4609375
55,0.46875
18,0.5078125
90,0.484375
82,0.5
119,0.4609375
124,0.484375
39,0.5
108,0.484375
105,0.515625
92,0.3828125
43,0.5390625
24,0.46875
14,0.5703125
106,0.421875
30,0.484375
64,0.484375
23,0.4921875
23,0.5078125
28,0.453125
68,0.59375
122,0.4453125
127,0.5078125
109,0.4296875
105,0.4765625
29,0.453125
22,0.5
85,0.546875
64,0.5546875
9,0.5390625
123,0.484375
80,0.4765625
112,0.4921875
100,0.3984375
33,0.5859375
36,0.5390625
78,0.5
56,0.4609375
61,0.484375
62,0.421875
81,0.515625
118,0.453125
63,0.53125
111,0.4296875
17,0.546875
6,0.515625
111,0.5625
19,0.4453125
62,0.4765625
83,0.5390625
44,0.4453125
43,0.46875
76,0.5
6,0.5
6,0.546875
58,0.515625
51,0.484375
112,0.5078125
52,0.4921875
62,0.5234375
69,0.5625
70,0.53125
55,0.5859375
4,0.484375
113,0.546875
60,0.5078125
54,0.453125
94,0.53125
6,0.484375
7,0.4453125
61,0.546875
11,0.4921875
73,0.4609375
48,0.4375
65,0.4765625
29,0.515625
59,0.4921875
45,0.53125
23,0.484375
33,0.4609375
30,0.453125
71,0.484375
94,0.578125
41,0.4765625
39,0.5625
64,0.5078125
2,0.4921875
103,0.453125
28,0.53125
110,0.5703125
119,0.4375
54,0.4921875
26,0.4921875
14,0.515625
125,0.5
24,0.515625
82,0.4609375
55,0.515625
80,0.5625
68,0.4609375
32,0.5390625
90,0.4765625
90,0.53125
58,0.53125
14,0.5
15,0.5234375
35,0.53125
13,0.5234375
14,0.4921875
88,0.453125
103,0.4453125
127,0.5390625
25,0.5390625
36,0.4609375
102,0.5
71,0.484375
49,0.515625
117,0.4609375
4,0.5078125
100,0.4921875
61,0.5
66,0.5078125
53,0.484375
29,0.4921875
2,0.484375
98,0.46875
102,0.4921875
58,0.5390625
74,0.4921875
81,0.546875
58,0.4765625
71,0.5390625
6,0.5390625
52,0.4765625
109,0.46875
56,0.5234375
125,0.5546875
65,0.4609375
63,0.578125
0,0.5234375
122,0.546875
64,0.546875
90,0.5078125
61,0.5078125
77,0.5078125
71,0.4375
47,0.5234375
109,0.4765625
70,0.5
59,0.484375
2,0.5234375
8,0.53125
1,0.46875
51,0.484375
83,0.5
83,0.5078125
56,0.46875
55,0.5078125
85,0.515625
105,0.4921875
78,0.4765625
28,0.578125
22,0.421875
67,0.4375
103,0.5234375
103,0.5703125
53,0.4453125
67,0.4765625
63,0.4453125
50,0.4765625
98,0.40625
115,0.5703125
62,0.5234375
9,0.578125
41,0.546875
56,0.5234375
48,0.46875
125,0.4609375
100,0.5625
95,0.4375
77,0.4765625
113,0.5
31,0.5546875
33,0.4140625
52,0.4921875
80,0.5625
62,0.515625
101,0.5546875
61,0.5234375
27,0.515625
19,0.5234375
25,0.4765625
44,0.5
35,0.4921875
15,0.5390625
119,0.5
64,0.515625
120,0.5703125
85,0.5625
112,0.4453125
49,0.5546875
72,0.5546875
59,0.515625
64,0.5390625
4,0.46875
103,0.4375
32,0.53125
108,0.5234375
78,0.578125
0,0.5234375
91,0.53125
50,0.4765625
80,0.5234375
81,0.4765625
68,0.484375
93,0.3984375
3,0.4765625
4,0.4296875
114,0.5234375
7,0.453125
120,0.453125
71,0.4921875
72,0.453125
52,0.5390625
35,0.515625
1,0.40625
92,0.5078125
77,0.5
11,0.46875
108,0.46875
38,0.5078125
120,0.5546875
26,0.546875
76,0.5234375
4,0.5234375
65,0.53125
60,0.453125
62,0.5
18,0.5234375
103,0.5
14,0.5234375
28,0.4609375
7,0.484375
25,0.5703125
114,0.53125
118,0.5078125
45,0.4609375
84,0.5625
61,0.5234375
95,0.4921875
42,0.4765625
27,0.546875
48,0.453125
75,0.484375
50,0.4375
30,0.5546875
116,0.4765625
67,0.4921875
6,0.515625
52,0.609375
26,0.4453125
22,0.53125
68,0.453125
112,0.4296875
53,0.5078125
120,0.5
124,0.4609375
14,0.546875
46,0.4921875
62,0.453125
10,0.4609375
27,0.515625
52,0.484375
47,0.46875
101,0.515625
63,0.53125
29,0.4765625
5,0.5234375
37,0.4921875
118,0.3515625
84,0.484375
75,0.5234375
41,0.46875
125,0.4609375
82,0.4375
85,0.4921875
59,0.5390625
127,0.4765625
83,0.515625
100,0.5
44,0.4765625
124,0.46875
97,0.5078125
89,0.46875
57,0.515625
34,0.4140625
57,0.546875
51,0.4609375
80,0.5078125
100,0.5
49,0.4609375
45,0.515625
111,0.5
68,0.46875
95,0.4609375
108,0.46875
55,0.4453125
26,0.5234375
91,0.5546875
49,0.5
58,0.421875
15,0.4375
24,0.6015625
115,0.53125
117,0.5859375
87,0.5625
56,0.453125
35,0.515625
22,0.5
87,0.4921875
113,0.5390625
58,0.4375
108,0.4921875
20,0.484375
29,0.53125
43,0.5546875
36,0.484375
120,0.515625
8,0.5703125
112,0.5390625
18,0.40625
109,0.5234375
61,0.53125
18,0.546875
87,0.53125
14,0.484375
15,0.4921875
12,0.5
71,0.59375
54,0.5
49,0.4609375
10,0.5390625
41,0.4765625
24,0.4921875
53,0.484375
72,0.5078125
38,0.484375
40,0.4921875
30,0.546875
14,0.46875
105,0.5234375
120,0.4921875
116,0.5625
44,0.484375
14,0.5546875
86,0.546875
102,0.515625
106,0.4296875
65,0.46875
49,0.4765625
98,0.5546875
33,0.5078125
70,0.515625
34,0.5
10,0.5546875
21,0.4375
51,0.5546875
88,0.4375
96,0.5
35,0.5859375
67,0.5
90,0.4609375
34,0.5078125
87,0.484375
126,0.5234375
23,0.4609375
82,0.546875
77,0.4609375
56,0.5546875
87,0.4921875
40,0.5390625
23,0.5625
24,0.5078125
76,0.515625
5,0.5390625
106,0.5
77,0.5
1,0.515625
48,0.53125
111,0.4765625
6,0.515625
25,0.5703125
25,0.546875
82,0.4453125
21,0.609375
90,0.4453125
69,0.5625
10,0.484375
21,0.4375
84,0.5078125
13,0.59375
70,0.5234375
100,0.6015625
22,0.53125
96,0.5234375
63,0.46875
11,0.4765625
33,0.46875
4,0.5390625
73,0.546875
47,0.5078125
82,0.515625
45,0.5078125
108,0.5625
95,0.4765625
74,0.4296875
26,0.5703125
75,0.5
4,0.5546875
91,0.4765625
103,0.4296875
82,0.5234375
15,0.4765625
59,0.5390625
109,0.515625
104,0.59375
118,0.53125
3,0.6328125
122,0.4921875
124,0.484375
97,0.4765625
90,0.5625
19,0.53125
86,0.5625
43,0.4140625
36,0.5234375
109,0.5
27,0.6015625
13,0.5078125
99,0.546875
0,0.46875
41,0.5390625
49,0.5
61,0.5
11,0.5390625
3,0.515625
33,0.4921875
39,0.609375
54,0.515625
35,0.484375
16,0.5234375
18,0.5625
76,0.546875
104,0.5078125
103,0.4375
45,0.46875
80,0.5078125
1,0.4765625
88,0.4453125
44,0.5390625
103,0.4765625
34,0.5390625
1,0.5
97,0.578125
54,0.5234375
30,0.4921875
51,0.4921875
32,0.515625
71,0.4140625
77,0.5
55,0.421875
42,0.46875
87,0.46875
96,0.5234375
112,0.453125
121,0.53125
37,0.484375
20,0.546875
66,0.5234375
105,0.4453125
94,0.53125
42,0.5703125
100,0.46875
48,0.46875
72,0.5
47,0.546875
99,0.53125
52,0.5078125
101,0.515625
122,0.5625
126,0.4296875
22,0.5078125
115,0.578125
17,0.3984375
58,0.453125
17,0.515625
16,0.4921875
39,0.4140625
126,0.4375
77,0.515625
104,0.4765625
72,0.546875
100,0.5234375
121,0.453125
16,0.4609375
107,0.53125
72,0.4609375
80,0.4921875
124,0.5078125
88,0.5
60,0.5
74,0.53125
96,0.5234375
40,0.515625
23,0.453125
8,0.4453125
47,0.5
40,0.4375
116,0.5078125
42,0.6171875
95,0.5234375
100,0.4921875
106,0.4921875
97,0.4765625
17,0.515625
6,0.640625
5,0.5703125
81,0.546875
72,0.5078125
81,0.4140625
53,0.515625
85,0.4921875
124,0.4921875
9,0.484375
112,0.4453125
26,0.5
101,0.5625
93,0.453125
51,0.5078125
22,0.4609375
82,0.5703125
30,0.5625
82,0.5546875
92,0.4921875
107,0.5859375
12,0.484375
52,0.484375
99,0.484375
10,0.5625
88,0.515625
25,0.484375
11,0.546875
62,0.578125
17,0.53125
77,0.5390625
105,0.453125
16,0.4921875
127,0.546875
16,0.46875
26,0.5078125
24,0.5078125
90,0.484375
68,0.5
67,0.4921875
17,0.5
50,0.453125
17,0.484375
67,0.53125
19,0.4140625
109,0.4609375
124,0.4765625
34,0.5234375
118,0.4609375
38,0.453125
70,0.5234375
52,0.4921875
35,0.3828125
30,0.421875
105,0.4140625
103,0.4765625
53,0.5234375
111,0.453125
34,0.3984375
98,0.5
61,0.4375
16,0.421875
123,0.46875
102,0.5
113,0.515625
75,0.46875
49,0.4453125
11,0.5078125
127,0.484375
90,0.515625
108,0.4140625
14,0.484375
9,0.4921875
88,0.5546875
25,0.5546875
93,0.515625
8,0.4609375
10,0.5390625
81,0.5390625
85,0.4765625
49,0.4453125
26,0.5
8,0.5078125
93,0.5703125
97,0.453125
22,0.375
53,0.5703125
118,0.5546875
100,0.421875
113,0.5390625
18,0.5234375
117,0.4609375
2,0.5078125
18,0.578125
110,0.46875
67,0.421875
82,0.5703125
114,0.5
17,0.4921875
60,0.515625
21,0.4609375
56,0.484375
121,0.453125
80,0.4609375
58,0.5546875
95,0.4609375
47,0.5546875
55,0.46875
75,0.5234375
57,0.4921875
101,0.53125
112,0.453125
14,0.5390625
78,0.546875
94,0.53125
40,0.4921875
72,0.46875
102,0.4453125
38,0.4609375
67,0.515625
110,0.484375
26,0.578125
72,0.453125
22,0.46875
97,0.53125
22,0.5546875
32,0.4609375
82,0.5078125
47,0.4453125
10,0.4375
102,0.5390625
64,0.5078125
3,0.5390625
46,0.5234375
63,0.5390625
75,0.421875
8,0.515625
26,0.53125
104,0.5625
63,0.53125
31,0.578125
60,0.5390625
127,0.5390625
100,0.5
91,0.5390625
67,0.4609375
84,0.4765625
111,0.5546875
44,0.53125
73,0.4453125
41,0.578125
87,0.546875
64,0.5546875
118,0.4453125
97,0.421875
2,0.484375
64,0.453125
86,0.546875
59,0.53125
36,0.4140625
75,0.3984375
55,0.5546875
14,0.515625
88,0.515625
38,0.484375
16,0.5234375
15,0.5390625
93,0.484375
97,0.515625
79,0.5
92,0.4921875
65,0.5
13,0.4296875
75,0.421875
13,0.5234375
28,0.4453125
89,0.5078125
122,0.4453125
87,0.3984375
20,0.484375
109,0.5703125
93,0.5078125
54,0.5390625
75,0.4375
52,0.5390625
17,0.5078125
20,0.4921875
2,0.4921875
120,0.46875
38,0.46875
11,0.5234375
7,0.46875
23,0.4296875
32,0.5390625
2,0.484375
33,0.53125
33,0.515625
101,0.5546875
29,0.5625
123,0.46875
3,0.5078125
101,0.453125
10,0.5078125
89,0.4921875
44,0.5703125
89,0.5078125
84,0.453125
54,0.515625
104,0.5390625
35,0.578125
127,0.5546875
107,0.4296875
35,0.4921875
122,0.5625
116,0.4765625
16,0.453125
1,0.3984375
13,0.484375
80,0.546875
101,0.515625
37,0.515625
6,0.4921875
11,0.484375
15,0.4921875
78,0.421875
114,0.546875
66,0.4140625
0,0.4375
73,0.5390625
114,0.5234375
123,0.484375
117,0.4765625
2,0.4765625
6,0.5546875
50,0.4921875
69,0.4453125
64,0.5078125
15,0.515625
13,0.46875
119,0.4375
88,0.5234375
116,0.4453125
16,0.5078125
73,0.5390625
25,0.484375
20,0.453125
58,0.5546875
63,0.5
108,0.546875
62,0.46875
87,0.5625
61,0.484375
102,0.515625
2,0.484375
99,0.453125
123,0.4375
16,0.4765625
44,0.4375
60,0.5390625
30,0.4921875
28,0.5390625
1,0.5234375
63,0.5078125
106,0.46875
95,0.4921875
27,0.5078125
122,0.4921875
114,0.5625
77,0.546875
50,0.5078125
83,0.4921875
50,0.5390625
35,0.5234375
20,0.5234375
68,0.5625
95,0.5390625
36,0.4921875
105,0.5390625
113,0.4921875
58,0.484375
88,0.5078125
28,0.53125
43,0.5390625
36,0.53125
90,0.4375
5,0.4609375
77,0.4609375
39,0.5078125
125,0.5078125
53,0.421875
83,0.546875
31,0.53125
44,0.5
119,0.640625
15,0.5625
116,0.53125
32,0.5703125
83,0.546875
14,0.5546875
65,0.5703125
44,0.5
124,0.5234375
79,0.5234375
84,0.5390625
71,0.59375
6,0.46875
123,0.4375
7,0.4921875
101,0.5
43,0.5
40,0.484375
70,0.5703125
58,0.6015625
73,0.4609375
113,0.46875
104,0.546875
35,0.46875
103,0.5703125
4,0.4609375
61,0.5234375
16,0.3984375
77,0.515625
7,0.5078125
111,0.59375
89,0.46875
58,0.5390625
25,0.4296875
64,0.484375
99,0.53125
70,0.546875
44,0.4921875
67,0.515625
8,0.4765625
72,0.4765625
44,0.5234375
101,0.484375
51,0.46875
35,0.4453125
10,0.5078125
82,0.4921875
71,0.484375
72,0.5078125
4,0.3828125
85,0.46875
109,0.40625
37,0.53125
45,0.515625
114,0.4609375
57,0.53125
57,0.484375
55,0.59375
69,0.4375
89,0.5
31,0.484375
117,0.46875
92,0.4609375
65,0.453125
54,0.515625
74,0.53125
15,0.53125
